code,locale,title,has_image,has_desc,has_prices,issues
210,de,Tour – 210 – de,true,true,true,legacy_title_format
210,es,Tour – 210 – es,true,true,true,legacy_title_format
210,it,Tour – 210 – it,true,true,true,legacy_title_format
213,en,Tour – 213 – en,true,true,true,legacy_title_format|contains_no_image
213,fr,Tour – 213 – fr,true,true,true,legacy_title_format
213,de,Tour – 213 – de,true,true,true,legacy_title_format
213,es,Tour – 213 – es,true,true,true,legacy_title_format
213,it,Tour – 213 – it,true,true,true,legacy_title_format
214,en,Tour – 214 – en,true,true,true,legacy_title_format|contains_no_image
214,fr,Tour – 214 – fr,true,true,true,legacy_title_format
214,de,Tour – 214 – de,true,true,true,legacy_title_format
214,es,Tour – 214 – es,true,true,true,legacy_title_format
214,it,Tour – 214 – it,true,true,true,legacy_title_format
215,en,Tour – 215 – en,true,true,true,legacy_title_format|contains_no_image
215,fr,Tour – 215 – fr,true,true,true,legacy_title_format
215,de,Tour – 215 – de,true,true,true,legacy_title_format
215,es,Tour – 215 – es,true,true,true,legacy_title_format
215,it,Tour – 215 – it,true,true,true,legacy_title_format
216,en,Tour – 216 – en,true,true,true,legacy_title_format|contains_no_image
216,fr,Tour – 216 – fr,true,true,true,legacy_title_format
216,de,Tour – 216 – de,true,true,true,legacy_title_format
216,es,Tour – 216 – es,true,true,true,legacy_title_format
216,it,Tour – 216 – it,true,true,true,legacy_title_format
230,en,Tour – 230 – en,true,true,true,legacy_title_format|contains_no_image
230,fr,Tour – 230 – fr,true,true,true,legacy_title_format
230,de,Tour – 230 – de,true,true,true,legacy_title_format
230,es,Tour – 230 – es,true,true,true,legacy_title_format
230,it,Tour – 230 – it,true,true,true,legacy_title_format
234,en,Tour – 234 – en,true,true,true,legacy_title_format|contains_no_image
234,fr,Tour – 234 – fr,true,true,true,legacy_title_format
234,de,Tour – 234 – de,true,true,true,legacy_title_format
234,es,Tour – 234 – es,true,true,true,legacy_title_format
234,it,Tour – 234 – it,true,true,true,legacy_title_format
240,en,Tour – 240 – en,true,true,true,legacy_title_format|contains_no_image
240,fr,Tour – 240 – fr,true,true,true,legacy_title_format
240,de,Tour – 240 – de,true,true,true,legacy_title_format
240,es,Tour – 240 – es,true,true,true,legacy_title_format
240,it,Tour – 240 – it,true,true,true,legacy_title_format
245,en,Tour – 245 – en,true,true,true,legacy_title_format|contains_no_image
245,fr,Tour – 245 – fr,true,true,true,legacy_title_format
245,de,Tour – 245 – de,true,true,true,legacy_title_format
245,es,Tour – 245 – es,true,true,true,legacy_title_format
245,it,Tour – 245 – it,true,true,true,legacy_title_format
264,en,Tour – 264 – en,true,true,true,legacy_title_format|contains_no_image
264,fr,Tour – 264 – fr,true,true,true,legacy_title_format
264,de,Tour – 264 – de,true,true,true,legacy_title_format
264,es,Tour – 264 – es,true,true,true,legacy_title_format
264,it,Tour – 264 – it,true,true,true,legacy_title_format
270,en,Tour – 270 – en,true,true,true,legacy_title_format|contains_no_image
270,fr,Tour – 270 – fr,true,true,true,legacy_title_format
270,de,Tour – 270 – de,true,true,true,legacy_title_format
270,es,Tour – 270 – es,true,true,true,legacy_title_format
270,it,Tour – 270 – it,true,true,true,legacy_title_format
273,en,Tour – 273 – en,true,true,true,legacy_title_format|contains_no_image
273,fr,Tour – 273 – fr,true,true,true,legacy_title_format
273,de,Tour – 273 – de,true,true,true,legacy_title_format
273,es,Tour – 273 – es,true,true,true,legacy_title_format
273,it,Tour – 273 – it,true,true,true,legacy_title_format
281,en,Tour – 281 – en,true,true,true,legacy_title_format|contains_no_image
281,fr,Tour – 281 – fr,true,true,true,legacy_title_format
281,de,Tour – 281 – de,true,true,true,legacy_title_format
281,es,Tour – 281 – es,true,true,true,legacy_title_format
281,it,Tour – 281 – it,true,true,true,legacy_title_format
283,en,Tour – 283 – en,true,true,true,legacy_title_format|contains_no_image
283,fr,Tour – 283 – fr,true,true,true,legacy_title_format
283,de,Tour – 283 – de,true,true,true,legacy_title_format
283,es,Tour – 283 – es,true,true,true,legacy_title_format
283,it,Tour – 283 – it,true,true,true,legacy_title_format
284,en,Tour – 284 – en,true,true,true,legacy_title_format|contains_no_image
284,fr,Tour – 284 – fr,true,true,true,legacy_title_format
284,de,Tour – 284 – de,true,true,true,legacy_title_format
284,es,Tour – 284 – es,true,true,true,legacy_title_format
284,it,Tour – 284 – it,true,true,true,legacy_title_format
301,en,Tour – 301 – en,true,true,true,legacy_title_format|contains_no_image
301,fr,Tour – 301 – fr,true,true,true,legacy_title_format
301,de,Tour – 301 – de,true,true,true,legacy_title_format
301,es,Tour – 301 – es,true,true,true,legacy_title_format
301,it,Tour – 301 – it,true,true,true,legacy_title_format
303,en,Tour – 303 – en,true,true,true,legacy_title_format|contains_no_image
303,fr,Tour – 303 – fr,true,true,true,legacy_title_format
303,de,Tour – 303 – de,true,true,true,legacy_title_format
303,es,Tour – 303 – es,true,true,true,legacy_title_format
303,it,Tour – 303 – it,true,true,true,legacy_title_format
306,en,Tour – 306 – en,true,true,false,missing_prices_table|legacy_title_format|contains_no_image
306,fr,Tour – 306 – fr,true,true,false,missing_prices_table|legacy_title_format
306,de,Tour – 306 – de,true,true,false,missing_prices_table|legacy_title_format
306,es,Tour – 306 – es,true,true,false,missing_prices_table|legacy_title_format
306,it,Tour – 306 – it,true,true,false,missing_prices_table|legacy_title_format
308,en,Tour – 308 – en,true,true,true,legacy_title_format|contains_no_image
308,fr,Tour – 308 – fr,true,true,true,legacy_title_format
308,de,Tour – 308 – de,true,true,true,legacy_title_format
308,es,Tour – 308 – es,true,true,true,legacy_title_format
308,it,Tour – 308 – it,true,true,true,legacy_title_format
310,en,Tour – 310 – en,true,true,true,legacy_title_format|contains_no_image
310,fr,Tour – 310 – fr,true,true,true,legacy_title_format
310,de,Tour – 310 – de,true,true,true,legacy_title_format
310,es,Tour – 310 – es,true,true,true,legacy_title_format
310,it,Tour – 310 – it,true,true,true,legacy_title_format
314,en,Tour – 314 – en,true,true,true,legacy_title_format|contains_no_image
314,fr,Tour – 314 – fr,true,true,true,legacy_title_format
314,de,Tour – 314 – de,true,true,true,legacy_title_format
314,es,Tour – 314 – es,true,true,true,legacy_title_format
314,it,Tour – 314 – it,true,true,true,legacy_title_format
319,en,Tour – 319 – en,true,true,true,legacy_title_format|contains_no_image
319,fr,Tour – 319 – fr,true,true,true,legacy_title_format
319,de,Tour – 319 – de,true,true,true,legacy_title_format
319,es,Tour – 319 – es,true,true,true,legacy_title_format
319,it,Tour – 319 – it,true,true,true,legacy_title_format
321,en,Tour – 321 – en,true,true,true,legacy_title_format|contains_no_image
321,fr,Tour – 321 – fr,true,true,true,legacy_title_format
321,de,Tour – 321 – de,true,true,true,legacy_title_format
321,es,Tour – 321 – es,true,true,true,legacy_title_format
321,it,Tour – 321 – it,true,true,true,legacy_title_format
322,en,Tour – 322 – en,true,true,true,legacy_title_format|contains_no_image
322,fr,Tour – 322 – fr,true,true,true,legacy_title_format
322,de,Tour – 322 – de,true,true,true,legacy_title_format
322,es,Tour – 322 – es,true,true,true,legacy_title_format
322,it,Tour – 322 – it,true,true,true,legacy_title_format
323,en,Tour – 323 – en,true,true,true,legacy_title_format|contains_no_image
323,fr,Tour – 323 – fr,true,true,true,legacy_title_format
323,de,Tour – 323 – de,true,true,true,legacy_title_format
323,es,Tour – 323 – es,true,true,true,legacy_title_format
323,it,Tour – 323 – it,true,true,true,legacy_title_format
326,en,Tour – 326 – en,true,true,true,legacy_title_format|contains_no_image
326,fr,Tour – 326 – fr,true,true,true,legacy_title_format
326,de,Tour – 326 – de,true,true,true,legacy_title_format
326,es,Tour – 326 – es,true,true,true,legacy_title_format
326,it,Tour – 326 – it,true,true,true,legacy_title_format
327,en,Tour – 327 – en,true,true,true,legacy_title_format|contains_no_image
327,fr,Tour – 327 – fr,true,true,true,legacy_title_format
327,de,Tour – 327 – de,true,true,true,legacy_title_format
327,es,Tour – 327 – es,true,true,true,legacy_title_format
327,it,Tour – 327 – it,true,true,true,legacy_title_format
328,en,Tour – 328 – en,true,true,true,legacy_title_format|contains_no_image
328,fr,Tour – 328 – fr,true,true,true,legacy_title_format
328,de,Tour – 328 – de,true,true,true,legacy_title_format
328,es,Tour – 328 – es,true,true,true,legacy_title_format
328,it,Tour – 328 – it,true,true,true,legacy_title_format
330,en,Tour – 330 – en,true,true,true,legacy_title_format|contains_no_image
330,fr,Tour – 330 – fr,true,true,true,legacy_title_format
330,de,Tour – 330 – de,true,true,true,legacy_title_format
330,es,Tour – 330 – es,true,true,true,legacy_title_format
330,it,Tour – 330 – it,true,true,true,legacy_title_format
340,en,Tour – 340 – en,true,true,true,legacy_title_format|contains_no_image
